alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc
1.2,1.0,1,1,0.1506167519045003,0.9574166666666667,0.9805000424385071,,,,
1.2,1.0,2,1,0.049764187501228234,0.9846666666666667,0.9825000762939453,,,,
1.2,1.0,3,1,0.0408591146957367,0.98775,0.9865000247955322,,,,
1.2,1.0,4,1,0.03482496289120234,0.98925,0.983500063419342,,,,
1.2,1.0,5,1,0.029054048877367948,0.9914166666666666,0.987000048160553,,,,
1.2,1.0,6,1,0.026798048621400238,0.9915833333333334,0.9875000715255737,,,,
1.2,1.0,7,1,0.023559336842810537,0.9930833333333333,0.9885000586509705,,,,
1.2,1.0,8,1,0.021513461204681623,0.9933333333333333,0.9900000691413879,,,,
1.2,1.0,9,1,0.018850789038821102,0.9935833333333334,0.987000048160553,,,,
1.2,1.0,10,1,0.01817477994073341,0.9939166666666667,0.9905000329017639,,,,
1.2,1.0,11,1,0.015159353641099594,0.9955,0.987000048160553,,,,
1.2,1.0,12,1,0.014163440620982425,0.9955,0.9900000691413879,,,,
1.2,1.0,13,1,0.012332088774704236,0.9963333333333333,0.9875000715255737,,,,
1.2,1.0,14,1,0.011425229885486608,0.9969166666666667,0.9900000691413879,,,,
1.2,1.0,15,1,0.009954156168300579,0.9976666666666667,0.9890000224113464,,,,
1.2,1.0,16,1,0.00872469163361065,0.9978333333333333,0.9895000457763672,,,,
1.2,1.0,17,1,0.008417631047431063,0.9980833333333333,0.9890000224113464,,,,
1.2,1.0,18,1,0.007536931217281505,0.99825,0.9900000691413879,,,,
1.2,1.0,19,1,0.006590947818427169,0.9986666666666667,0.9910000562667847,,,,
1.2,1.0,20,1,0.005959016031912587,0.9986666666666667,0.9910000562667847,,,,
1.2,1.0,21,1,0.00518212734815724,0.999,0.9910000562667847,,,,
1.2,1.0,22,1,0.011011615420315177,0.9965833333333334,0.9905000329017639,,,,
1.2,1.0,23,1,0.009680401731995827,0.9971666666666666,0.9895000457763672,,,,
1.2,1.0,24,1,0.0078021681364724765,0.9974166666666666,0.9890000224113464,,,,
1.2,1.0,25,1,0.007188165855118411,0.9983333333333333,0.9905000329017639,,,,
1.2,1.0,26,1,0.007204958719468893,0.9980833333333333,0.9895000457763672,,,,
1.2,1.0,27,1,0.005786343228735743,0.9988333333333334,0.9910000562667847,,,,
1.2,1.0,28,1,0.0046600594291800355,0.9993333333333333,0.9890000224113464,,,,
1.2,1.0,29,1,0.004367888697046548,0.9993333333333333,0.9885000586509705,,,,
1.2,1.0,30,1,0.004215863062083681,0.9993333333333333,0.9900000691413879,,,,
1.2,1.0,1,2,2.7352595529023636,0.48275,0.9440000653266907,0.8565000295639038,,,
1.2,1.0,2,2,0.39798298779320207,0.9051666666666667,0.8975000381469727,0.9255000352859497,,,
1.2,1.0,3,2,0.2445217512072401,0.9398333333333333,0.8770000338554382,0.9360000491142273,,,
1.2,1.0,4,2,0.19173511922200945,0.95225,0.862500011920929,0.9420000314712524,,,
1.2,1.0,5,2,0.1671004438217967,0.9589166666666666,0.8540000319480896,0.9460000395774841,,,
1.2,1.0,6,2,0.14921126102513455,0.962,0.8480000495910645,0.9480000734329224,,,
1.2,1.0,7,2,0.13413908039318753,0.9638333333333333,0.8375000357627869,0.9500000476837158,,,
